ID,Age,Education,Marital_Status,Income,Spending,Dt_Customer,Recency,Date_of_Last_Purchase,Customer_Tenure,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold,Cluster_x,Cluster_y
5524,57,Postgraduate,Alone,58138,1617,04-09-2012,58,07-08-2014,23.4,No child,No child,635,88,546,172,88,88,Stars,Stars
2174,60,Postgraduate,Alone,46344,27,08-03-2014,38,27-08-2014,5.733333333,Has child,2 children,11,1,6,2,1,6,Need Attention,Need Attention
4141,49,Postgraduate,In couple,71613,776,21-08-2013,26,08-09-2014,12.76666667,No child,No child,426,49,127,111,21,42,High Potential,High Potential
6182,30,Postgraduate,In couple,26646,53,10-02-2014,26,08-09-2014,7,Has child,1 child,11,4,20,10,3,5,Need Attention,Need Attention
5324,33,Postgraduate,In couple,58293,422,19-01-2014,94,02-07-2014,5.466666667,Has child,1 child,173,43,118,46,27,15,Need Attention,Need Attention
7446,47,Postgraduate,In couple,62513,716,09-09-2013,16,18-09-2014,12.46666667,Has child,1 child,520,42,98,0,42,14,High Potential,High Potential
965,43,Postgraduate,Alone,55635,590,13-11-2012,34,31-08-2014,21.86666667,Has child,1 child,235,65,164,50,49,27,Stars,Stars
6177,29,Postgraduate,In couple,33454,169,08-05-2013,32,02-09-2014,16.06666667,Has child,1 child,76,10,56,3,1,23,Leaky Bucket,Leaky Bucket
4855,40,Postgraduate,In couple,30351,46,06-06-2013,19,15-09-2014,15.53333333,Has child,1 child,14,0,24,3,3,2,Leaky Bucket,Leaky Bucket
5899,64,Postgraduate,In couple,5648,49,13-03-2014,68,28-07-2014,4.566666667,Has child,2 children,28,0,6,1,1,13,Need Attention,Need Attention
387,38,Undergraduate,In couple,7500,61,13-11-2012,59,06-08-2014,21.03333333,No child,No child,6,16,11,11,1,16,Leaky Bucket,Leaky Bucket
2125,55,Postgraduate,Alone,63033,1102,15-11-2013,82,14-07-2014,8.033333333,No child,No child,194,61,480,225,112,30,High Potential,High Potential
8180,62,Postgraduate,Alone,59354,310,15-11-2013,53,12-08-2014,9,Has child,2 children,233,2,53,3,5,14,Need Attention,Need Attention
2569,27,Postgraduate,In couple,17323,46,10-10-2012,38,27-08-2014,22.86666667,No child,No child,3,14,17,6,1,5,Leaky Bucket,Leaky Bucket
2114,68,Postgraduate,Alone,82800,1315,24-11-2012,23,11-09-2014,21.86666667,No child,No child,1006,22,115,59,68,45,Stars,Stars
9736,34,Postgraduate,In couple,41850,96,24-12-2012,51,14-08-2014,19.93333333,Has child,2 children,53,5,19,2,13,4,Leaky Bucket,Leaky Bucket
4939,68,Postgraduate,In couple,37760,317,31-08-2012,20,14-09-2014,24.8,No child,No child,84,5,38,150,12,28,Leaky Bucket,Leaky Bucket
6565,65,Postgraduate,In couple,76995,1782,28-03-2013,91,05-07-2014,15.46666667,Has child,1 child,1012,80,498,0,16,176,Stars,Stars
2278,29,Undergraduate,Alone,33812,133,03-11-2012,86,10-07-2014,20.46666667,Has child,1 child,4,17,19,30,24,39,Leaky Bucket,Leaky Bucket
9360,32,Postgraduate,In couple,37040,316,08-08-2012,41,24-08-2014,24.86666667,No child,No child,86,2,73,69,38,48,Leaky Bucket,Leaky Bucket
5376,35,Postgraduate,In couple,2447,1730,06-01-2013,42,23-08-2014,19.8,Has child,1 child,1,1,1725,1,1,1,Leaky Bucket,Leaky Bucket
1993,65,Postgraduate,In couple,58607,972,23-12-2012,63,02-08-2014,19.56666667,Has child,1 child,867,0,86,0,0,19,Stars,Stars
4047,60,Postgraduate,In couple,65324,544,11-01-2014,0,04-10-2014,8.866666667,Has child,1 child,384,0,102,21,32,5,High Potential,High Potential
1409,63,Postgraduate,In couple,40689,444,18-03-2013,69,27-07-2014,16.53333333,Has child,1 child,270,3,27,39,6,99,Leaky Bucket,Leaky Bucket
7892,45,Postgraduate,Alone,18589,75,02-01-2013,89,07-07-2014,18.36666667,No child,No child,6,4,25,15,12,13,Leaky Bucket,Leaky Bucket
2404,38,Postgraduate,In couple,53359,257,27-05-2013,4,30-09-2014,16.36666667,Has child,2 children,173,4,30,3,6,41,Leaky Bucket,Leaky Bucket
9422,25,Postgraduate,In couple,38360,131,31-05-2013,26,08-09-2014,15.5,Has child,1 child,36,2,42,20,21,10,Leaky Bucket,Leaky Bucket
1966,49,Postgraduate,In couple,84618,1672,22-11-2013,96,30-06-2014,7.333333333,No child,No child,684,100,801,21,66,0,High Potential,High Potential
6864,25,Postgraduate,Alone,10979,30,22-05-2014,34,31-08-2014,3.366666667,No child,No child,8,4,10,2,2,4,Need Attention,Need Attention
3033,51,Postgraduate,In couple,38620,318,11-05-2013,56,09-08-2014,15.16666667,No child,No child,112,17,44,34,22,89,Leaky Bucket,Leaky Bucket
5710,44,Postgraduate,In couple,40548,120,10-10-2012,31,03-09-2014,23.1,Has child,1 child,110,0,5,2,0,3,Leaky Bucket,Leaky Bucket
7373,62,Postgraduate,Alone,46610,302,29-10-2012,8,26-09-2014,23.23333333,Has child,2 children,96,12,96,33,22,43,Leaky Bucket,Leaky Bucket
8755,68,Postgraduate,In couple,68657,1196,20-02-2013,4,30-09-2014,19.56666667,No child,No child,482,34,471,119,68,22,Stars,Stars
10738,63,Postgraduate,Alone,49389,65,29-08-2013,55,10-08-2014,11.53333333,Has child,2 children,40,0,19,2,1,3,Need Attention,Need Attention
4339,44,Postgraduate,In couple,67353,913,31-12-2013,37,28-08-2014,8,Has child,1 child,702,17,151,0,8,35,High Potential,High Potential
10755,38,Undergraduate,In couple,23718,81,02-09-2013,76,20-07-2014,10.7,Has child,1 child,6,3,14,15,7,36,Need Attention,Need Attention
